Subclones	SNPs
A/H53	50
A/H53	31
A/H53	13
A/H53	13
A/H53	87
A/H53	16
A/H53	23
A/H53	42
A/H53	89
A/H53	89
A/H53	39
A/H53	39
A/H53	22
A/H53	85
A/H53	0
A/H53	93
A/H53	42
A/H53	41
A/H53	14
A/H53	86
A/H53	39
A/H53	39
A/H53	16
A/H53	17
A/H53	16
A/H53	16
A/H53	87
A/H53	26
A/H53	90
A/H53	89
A/H53	107
A/H53	24
A/H53	88
A/H53	89
A/H53	23
A/H53	25
A/H53	87
A/H53	87
A/H53	89
A/H53	9
A/H53	92
A/H53	92
A/H53	88
A/H53	35
A/H53	85
A/H53	90
A/H53	21
A/H53	41
A/H53	54
A/H53	88
A/H53	88
A/H53	86
A/H53	87
A/H53	89
A/H53	91
A/H53	109
A/H53	90
A/H53	98
A/H53	98
A/H53	74
A/H53	83
A/H53	90
A/H53	95
A/H53	76
A/H53	76
A/H53	92
A/H53	92
A/H53	89
A/H53	72
A/H53	93
A/H53	0
A/H53	95
A/H53	94
A/H53	95
A/H53	73
A/H53	102
A/H53	102
A/H53	97
A/H53	98
A/H53	97
A/H53	97
A/H53	74
A/H53	93
A/H53	77
A/H53	76
A/H53	121
A/H53	91
A/H53	75
A/H53	76
A/H53	90
A/H53	106
A/H53	74
A/H53	74
A/H53	76
A/H53	90
A/H53	79
A/H53	79
A/H53	75
A/H53	98
A/H53	72
A/H53	77
A/H53	102
A/H53	104
A/H53	107
A/H53	75
A/H53	75
A/H53	73
A/H53	74
A/H53	76
A/H53	78
A/H53	96
A/H53	77
A/H53	47
A/H53	47
A/H53	89
A/H53	32
A/H53	39
A/H53	44
A/H53	91
A/H53	91
A/H53	7
A/H53	7
A/H53	38
A/H53	87
A/H53	42
A/H53	95
A/H53	0
A/H53	39
A/H53	44
A/H53	88
A/H53	51
A/H53	51
A/H53	46
A/H53	47
A/H53	46
A/H53	46
A/H53	89
A/H53	42
A/H53	92
A/H53	91
A/H53	110
A/H53	40
A/H53	90
A/H53	91
A/H53	39
A/H53	55
A/H53	89
A/H53	89
A/H53	91
A/H53	39
A/H53	94
A/H53	94
A/H53	90
A/H53	47
A/H53	87
A/H53	92
A/H53	51
A/H53	53
A/H53	56
A/H53	90
A/H53	90
A/H53	88
A/H53	89
A/H53	91
A/H53	93
A/H53	111
A/H53	92
A/H53	46
A/H53	46
A/H53	88
A/H53	31
A/H53	38
A/H53	43
A/H53	90
A/H53	90
A/H53	36
A/H53	36
A/H53	37
A/H53	86
A/H53	41
A/H53	94
A/H53	39
A/H53	0
A/H53	43
A/H53	87
A/H53	50
A/H53	50
A/H53	45
A/H53	46
A/H53	45
A/H53	45
A/H53	88
A/H53	41
A/H53	91
A/H53	90
A/H53	109
A/H53	39
A/H53	89
A/H53	90
A/H53	38
A/H53	54
A/H53	88
A/H53	88
A/H53	90
A/H53	38
A/H53	93
A/H53	93
A/H53	89
A/H53	46
A/H53	86
A/H53	91
A/H53	50
A/H53	52
A/H53	55
A/H53	89
A/H53	89
A/H53	87
A/H53	88
A/H53	90
A/H53	92
A/H53	110
A/H53	91
A/H53	19
A/H53	19
A/H53	89
A/H53	18
A/H53	25
A/H53	44
A/H53	91
A/H53	91
A/H53	41
A/H53	41
A/H53	24
A/H53	87
A/H53	14
A/H53	95
A/H53	44
A/H53	43
A/H53	0
A/H53	88
A/H53	41
A/H53	41
A/H53	6
A/H53	7
A/H53	6
A/H53	6
A/H53	89
A/H53	28
A/H53	92
A/H53	91
A/H53	110
A/H53	26
A/H53	90
A/H53	91
A/H53	25
A/H53	25
A/H53	89
A/H53	89
A/H53	91
A/H53	11
A/H53	94
A/H53	94
A/H53	90
A/H53	37
A/H53	87
A/H53	92
A/H53	21
A/H53	43
A/H53	56
A/H53	90
A/H53	90
A/H53	88
A/H53	89
A/H53	91
A/H53	93
A/H53	111
A/H53	92
A/H53	91
A/H53	91
A/H53	13
A/H53	76
A/H53	83
A/H53	88
A/H53	13
A/H53	13
A/H53	85
A/H53	85
A/H53	82
A/H53	27
A/H53	86
A/H53	73
A/H53	88
A/H53	87
A/H53	88
A/H53	0
A/H53	95
A/H53	95
A/H53	90
A/H53	91
A/H53	90
A/H53	90
A/H53	15
A/H53	86
A/H53	14
A/H53	13
A/H53	114
A/H53	84
A/H53	4
A/H53	13
A/H53	83
A/H53	99
A/H53	11
A/H53	13
A/H53	5
A/H53	83
A/H53	16
A/H53	16
A/H53	4
A/H53	91
A/H53	1
A/H53	14
A/H53	95
A/H53	97
A/H53	100
A/H53	12
A/H53	12
A/H53	10
A/H53	3
A/H53	13
A/H53	17
A/H53	35
A/H53	16
A/H53	44
A/H53	44
A/H53	96
A/H53	29
A/H53	36
A/H53	51
A/H53	98
A/H53	98
A/H53	48
A/H53	48
A/H53	35
A/H53	94
A/H53	39
A/H53	102
A/H53	51
A/H53	50
A/H53	41
A/H53	95
A/H53	0
A/H53	0
A/H53	43
A/H53	44
A/H53	43
A/H53	43
A/H53	96
A/H53	39
A/H53	99
A/H53	98
A/H53	117
A/H53	37
A/H53	97
A/H53	98
A/H53	36
A/H53	52
A/H53	96
A/H53	96
A/H53	98
A/H53	36
A/H53	101
A/H53	101
A/H53	97
A/H53	8
A/H53	94
A/H53	99
A/H53	48
A/H53	14
A/H53	63
A/H53	97
A/H53	97
A/H53	95
A/H53	96
A/H53	98
A/H53	100
A/H53	118
A/H53	99
A/H53	44
A/H53	44
A/H53	96
A/H53	29
A/H53	36
A/H53	51
A/H53	98
A/H53	98
A/H53	48
A/H53	48
A/H53	35
A/H53	94
A/H53	39
A/H53	102
A/H53	51
A/H53	50
A/H53	41
A/H53	95
A/H53	0
A/H53	0
A/H53	43
A/H53	44
A/H53	43
A/H53	43
A/H53	96
A/H53	39
A/H53	99
A/H53	98
A/H53	117
A/H53	37
A/H53	97
A/H53	98
A/H53	36
A/H53	52
A/H53	96
A/H53	96
A/H53	98
A/H53	36
A/H53	101
A/H53	101
A/H53	97
A/H53	8
A/H53	94
A/H53	99
A/H53	48
A/H53	14
A/H53	63
A/H53	97
A/H53	97
A/H53	95
A/H53	96
A/H53	98
A/H53	100
A/H53	118
A/H53	99
A/H53	21
A/H53	21
A/H53	91
A/H53	20
A/H53	27
A/H53	46
A/H53	93
A/H53	93
A/H53	43
A/H53	43
A/H53	26
A/H53	89
A/H53	16
A/H53	97
A/H53	46
A/H53	45
A/H53	6
A/H53	90
A/H53	43
A/H53	43
A/H53	0
A/H53	1
A/H53	0
A/H53	0
A/H53	91
A/H53	30
A/H53	94
A/H53	93
A/H53	112
A/H53	28
A/H53	92
A/H53	93
A/H53	27
A/H53	27
A/H53	91
A/H53	91
A/H53	93
A/H53	13
A/H53	96
A/H53	96
A/H53	92
A/H53	39
A/H53	89
A/H53	94
A/H53	23
A/H53	45
A/H53	58
A/H53	92
A/H53	92
A/H53	90
A/H53	91
A/H53	93
A/H53	95
A/H53	113
A/H53	94
A/H53	22
A/H53	22
A/H53	92
A/H53	21
A/H53	28
A/H53	47
A/H53	94
A/H53	94
A/H53	44
A/H53	44
A/H53	27
A/H53	90
A/H53	17
A/H53	98
A/H53	47
A/H53	46
A/H53	7
A/H53	91
A/H53	44
A/H53	44
A/H53	1
A/H53	0
